BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;138;476.40;1.020;1.017;120;118.0;4999.7;554.4;8;0;1800;20.900;0.000;81.804;8.00;8;9;9
BENCH;139;477.42;1.020;1.016;119;117.1;4999.7;554.4;8;8;1800;21.670;21.670;91.480;9.00;9;9;9
BENCH;140;478.44;1.020;1.025;114;111.2;4999.7;554.4;24;8;5400;64.853;21.811;132.318;6.00;9;9;9
BENCH;141;479.46;1.020;1.017;116;114.1;4999.7;554.4;18;0;4050;47.961;0.000;112.762;7.22;8;9;9
BENCH;142;480.48;1.020;1.025;116;113.2;4999.7;554.4;18;8;4050;48.229;21.738;115.372;7.89;9;9;9
BENCH;143;481.50;1.020;1.017;119;117.1;4999.7;554.4;12;8;2700;32.543;21.641;97.284;7.00;9;9;9
BENCH;144;482.52;1.020;1.019;120;117.7;4999.7;554.4;8;0;1800;20.844;0.000;85.574;8.00;8;9;9
BENCH;145;483.54;1.020;1.023;117;114.4;4999.7;554.4;16;8;3600;42.726;21.659;109.243;8.00;9;9;9
BENCH calibration;quads=30;refusedQuads=0;verticesPerFormula=54000;stockNsPerVertex=262.0;fixedNsPerVertex=88.8;differenceNsPerVertex=-173.2
BENCH end
